TSNE1,TSNE2,KM_AE
-52.851635,-26.991314,0
-21.915136,66.69826,2
-13.248459,44.62199,2
13.006901,36.75386,2
12.350352,35.311165,2
-4.5423484,-13.009738,0
26.17393,6.3616695,0
-44.388023,-39.789417,0
32.61714,15.613993,0
-28.435953,-15.379185,0
-14.872462,71.773155,2
-37.51263,-47.56406,0
-28.195066,-6.9356313,0
-7.6983685,-3.9408424,0
34.112328,-40.364647,0
-62.101696,-17.751518,0
-10.479426,2.131932,0
-9.986658,1.4345616,0
-48.64111,6.00317,0
13.909638,-27.685156,0
13.352973,-23.793,0
-19.7198,10.897199,0
-53.791103,-27.311642,0
-17.780296,-40.42654,0
-13.1577425,-7.0954895,0
-24.832148,-71.88708,0
-0.21802802,-64.36087,0
-42.593327,6.964788,0
-7.3809724,-60.261875,0
26.326923,-16.4206,0
-14.182686,-47.227016,0
5.4278255,-30.994062,0
-28.174337,6.5099683,0
14.124831,-5.4473743,0
29.102745,16.78358,0
36.406265,10.824383,0
-18.737919,-77.301956,0
-59.53929,-17.903292,0
-10.325615,-57.956192,0
-0.84636563,-31.391384,0
4.38341,-50.633587,0
-4.5009866,-30.42898,0
18.46165,-38.407776,0
-39.852932,6.76122,0
-58.33207,-22.277945,0
16.737097,46.412907,2
0.43894127,47.589043,2
-1.6178327,42.778843,2
-0.42895854,50.938522,2
-1.9215609,-1.2211801,0
-47.122643,39.72388,2
-40.838436,7.15227,0
22.119385,-0.5408835,0
-9.966578,-20.116499,0
17.00561,-25.924358,0
-19.313463,61.05027,2
8.607611,-51.224342,0
-0.5121001,-11.520581,0
9.257539,-33.072517,0
-26.480778,-11.785596,0
-10.758046,-46.572247,0
37.53525,49.72813,2
-51.938778,-28.175726,0
-11.743593,4.7613025,0
38.99904,-25.27042,0
-52.388542,8.280608,0
-10.189464,20.16238,0
-0.12636046,40.109905,2
-43.643974,-40.47911,0
-7.8850427,-59.29694,0
-30.658644,15.446001,0
1.8568802,8.273554,0
-8.71377,79.12551,2
31.485746,-4.342379,0
33.954414,7.221817,0
66.43343,18.738869,0
-25.784986,-2.8615556,0
17.789682,-0.8338115,0
-49.406025,7.5180926,0
32.6324,14.757326,0
42.94145,-10.543382,0
-9.302141,5.260577,0
-53.31161,-28.07378,0
-8.25241,-22.18822,0
22.57365,54.46765,2
23.224596,49.070084,2
22.167398,54.335083,2
24.672636,4.3797073,0
-1.3416423,4.7372255,0
0.4968927,13.193494,0
-55.823814,-27.767433,0
-3.3185322,-6.582539,0
-9.46744,12.964643,0
17.184643,-39.934944,0
-58.41,-16.381342,0
-49.270332,6.049113,0
-27.641716,-20.310976,0
-19.121906,-77.82029,0
-19.903109,-72.277275,0
-2.9989247,20.71737,2
7.5842605,-7.2174926,0
-27.815197,-20.421518,0
-26.32766,5.7992487,0
-5.5392494,-31.415161,0
-50.239098,8.71993,0
33.835056,-13.212873,0
-4.217094,-8.26886,0
32.56282,39.891476,2
14.364726,-27.436056,0
-26.813187,-19.690357,0
-63.51147,-7.237808,0
-3.0740824,42.507698,2
-15.267063,77.30571,2
4.179628,52.433754,2
37.37056,2.312002,0
-20.091913,-31.986206,0
0.16058488,-2.3603442,0
-31.422201,13.8761835,0
-12.038328,8.697852,0
8.775575,36.06613,2
9.860505,-53.62255,0
-13.924248,-49.996864,0
-8.310649,14.807767,0
-27.658052,-9.165371,0
4.360589,52.485893,2
70.20171,16.779701,0
5.326669,-31.078356,0
-13.072232,46.3496,2
-3.7786562,55.801228,2
-9.3779955,8.297355,0
-6.8017197,9.295596,0
-54.003918,28.860003,2
21.697805,54.074177,2
31.192879,14.910032,0
13.462337,-9.070005,0
-53.83472,7.021735,0
-30.06258,13.906539,0
29.609238,59.876698,2
35.3357,5.8739243,0
-9.289226,13.756528,0
33.565845,57.750626,2
13.299452,-9.214331,0
15.711053,46.451817,2
-3.0790715,19.346514,0
2.872132,-43.78282,0
-2.093849,-62.471268,0
30.31386,37.377678,2
-11.934303,-47.04252,0
10.275223,-5.4685483,0
-49.676632,6.405346,0
-14.650263,69.99332,2
2.2516594,0.9300728,0
-0.6700732,-63.25346,0
-16.680532,49.404716,2
24.257765,3.8305337,0
38.23138,1.1407634,0
39.06809,-21.06637,0
32.69162,-14.448454,0
-22.713297,24.051535,0
-54.802555,-27.814968,0
-20.404089,58.016586,2
35.298077,-36.893837,0
-11.286966,74.84297,2
6.095457,-45.31187,0
-7.16216,53.620304,2
1.0425776,-20.046577,0
-1.111441,-20.918684,0
15.8067045,-24.57236,0
-23.493774,3.2607703,0
-1.6468884,-23.078777,0
66.57947,18.74338,0
-22.044104,65.76632,2
-18.232082,11.505656,0
18.001625,56.636154,2
-25.483627,2.8878574,0
-6.976836,-25.721907,0
-1.531229,3.308178,0
-0.43996525,7.0992365,0
-22.211527,7.2161427,0
-27.607574,-18.931967,0
35.298424,-27.965227,0
-17.19544,49.798447,2
-9.603612,-56.471775,0
40.79765,-5.6309447,0
-8.5027685,24.865145,2
35.853893,9.817824,0
-21.888645,66.26716,2
31.137093,15.905478,0
41.139004,-20.91419,0
33.237312,-40.109467,0
-49.710674,33.402203,2
-53.53006,-28.166075,0
-6.9895816,18.424883,0
-27.896852,-19.70892,0
-1.4295831,8.555212,0
22.585222,-49.425003,0
-20.724226,58.44385,2
39.479515,56.850998,2
39.25427,-18.410915,0
-15.521161,76.65308,2
-1.1147699,-43.86846,0
-25.40181,1.6447533,0
-12.540225,-12.017085,0
-23.641094,6.3151584,0
-63.079437,-7.119073,0
-33.95261,9.942809,0
39.446312,-20.511429,0
10.411584,-62.184727,0
-52.31252,36.53944,2
8.009062,-7.5079036,0
-18.188816,54.3037,2
34.254642,-39.56161,0
40.21554,-8.458919,0
-52.888268,-26.996666,0
-27.464968,-11.094536,0
14.036652,-24.972708,0
-3.916648,-13.742269,0
-10.02062,9.755509,0
-26.77638,-9.349332,0
31.314589,14.98324,0
-7.4884915,55.050602,2
-2.3826225,-22.09363,0
-14.541163,-46.5746,0
-9.198181,-57.16108,0
-59.70206,-20.617008,0
-22.935339,23.707788,0
-40.411972,-50.440994,0
-36.096176,-57.344276,0
-19.909065,72.78237,2
19.71181,0.20495792,0
-15.924782,75.7656,2
32.720093,-23.251602,0
37.53874,-1.7733911,0
-28.769133,-7.632901,0
22.661867,-0.20217848,0
31.545063,58.690357,2
31.434492,-8.073042,0
13.759539,-9.568828,0
67.62627,18.262568,0
-61.879684,-17.428633,0
-13.553434,-6.342369,0
-4.442578,-8.374232,0
12.393546,-61.245567,0
36.332737,6.661763,0
16.17213,-45.327522,0
-60.708958,-15.844819,0
37.57543,5.354006,0
32.150284,-22.359575,0
-60.584335,-19.579416,0
22.375746,-49.620018,0
-58.583027,-22.52455,0
-64.09653,-10.554474,0
-14.633074,-47.563705,0
-13.295953,76.64436,2
-8.761523,23.711948,0
27.571003,55.810715,2
33.619904,40.58447,2
-12.531894,2.5000157,0
-9.733836,1.397124,0
36.940815,6.7704716,0
-7.985774,-4.5310206,0
33.886528,-6.317855,0
-17.145432,26.882608,0
29.52138,59.09766,2
-21.549873,-33.68611,0
-3.7707212,18.366053,0
34.47277,12.970372,0
-18.370184,54.1328,2
-16.696312,-41.64023,0
4.3785143,-48.81923,0
-20.151346,68.42961,2
-12.556205,-48.488796,0
-54.66509,-27.749718,0
33.981796,41.131123,2
